Latitude,Longitude,MedInc,cluster
37.8,-122.23,2.3929,5
37.79,-122.23,2.1917,5
37.79,-122.23,2.9357,5
37.79,-122.23,1.8854,5
37.79,-122.24,2.1638,5
37.79,-122.24,2.125,5
37.79,-122.24,3.375,5
37.79,-122.24,2.2542,5
37.79,-122.25,2.1,5
37.79,-122.25,1.6,5
37.79,-122.25,3.625,5
37.8,-122.26,1.6929,5
37.77,-122.22,1.6471,5
37.77,-122.22,2.59,5
37.77,-122.23,2.57,5
37.78,-122.23,2.6429,5
37.78,-122.23,3.0257,5
37.78,-122.22,1.4886,5
37.78,-122.23,1.9338,5
37.78,-122.23,1.4844,5
37.78,-122.23,1.6009,5
37.79,-122.23,2.0375,5
37.79,-122.23,2.293,5
37.79,-122.22,2.1494,5
37.79,-122.23,1.6198,5
37.79,-122.23,1.3281,5
37.79,-122.22,3.5156,5
37.79,-122.22,3.9048,5
37.79,-122.21,3.0893,5
37.79,-122.22,2.6042,5
37.79,-122.22,2.5,5
37.79,-122.22,2.7969,5
37.79,-122.2,2.8321,5
37.79,-122.21,2.9583,5
37.79,-122.21,2.8365,5
37.79,-122.21,2.875,5
37.8,-122.21,3.0682,5
37.8,-122.21,3.0757,5
37.8,-122.2,4.9559,3
37.8,-122.2,4.7721,3
37.8,-122.21,3.4861,5
37.8,-122.2,5.1184,3
37.8,-122.21,4.0977,5
37.8,-122.19,4.744,5
37.8,-122.19,4.2727,5
37.79,-122.19,2.9844,5
37.79,-122.2,4.1739,5
37.8,-122.2,3.8487,5
37.8,-122.19,4.0114,5
37.79,-122.19,4.6563,5
37.79,-122.19,2.9297,5
37.79,-122.2,2.3036,5
37.79,-122.2,2.6667,5
37.79,-122.2,2.619,5
37.79,-122.21,2.4167,5
37.79,-122.2,2.7788,5
37.78,-122.21,2.7352,5
37.78,-122.21,1.8472,5
37.78,-122.21,2.6583,5
37.78,-122.21,3.0536,5
37.78,-122.22,2.3906,5
37.78,-122.21,1.7188,5
37.78,-122.21,2.625,5
37.77,-122.22,2.8015,5
37.78,-122.22,1.7276,5
37.78,-122.22,2.0801,5
37.78,-122.22,2.489,5
37.76,-122.21,1.7546,5
37.77,-122.21,4.0904,5
37.77,-122.21,2.6765,5
37.77,-122.2,2.4338,5
37.77,-122.21,2.3309,5
37.77,-122.21,2.2604,5
37.77,-122.19,1.8039,5
37.77,-122.2,2.2562,5
37.77,-122.2,2.0562,5
37.78,-122.2,3.5398,5
37.78,-122.2,3.1167,5
37.78,-122.2,2.5401,5
37.77,-122.2,2.898,5
37.78,-122.21,2.3125,5
37.78,-122.19,2.875,5
37.77,-122.19,3.3715,5
37.77,-122.19,3.5114,5
37.78,-122.19,4.3125,5
37.78,-122.19,3.22,5
37.78,-122.18,3.875,5
37.78,-122.19,5.2328,3
37.78,-122.19,3.7262,5
37.78,-122.2,4.5893,5
37.79,-122.18,5.2578,3
37.79,-122.18,7.0875,3
37.79,-122.18,3.9712,5
37.79,-122.19,2.9514,5
37.79,-122.19,2.6667,5
37.81,-122.18,5.4446,3
37.8,-122.18,6.2838,3
37.8,-122.18,6.7527,3
37.77,-122.13,7.0712,3
37.79,-122.16,5.9849,3
37.78,-122.17,3.6875,5
37.77,-122.17,2.875,5
37.78,-122.18,3.4205,5
37.78,-122.18,3.2984,5
37.78,-122.17,3.875,5
37.78,-122.17,4.175,5
37.77,-122.16,4.375,5
37.77,-122.16,4.7708,3
37.77,-122.16,3.5739,5
37.77,-122.16,3.0958,5
37.77,-122.17,3.3958,5
37.77,-122.17,1.871,5
37.76,-122.17,1.9356,5
37.76,-122.17,2.1842,5
37.76,-122.18,2.2917,5
37.76,-122.17,2.4333,5
37.76,-122.18,1.9479,5
37.76,-122.18,3.9063,5
37.76,-122.18,1.8407,5
37.77,-122.18,2.0786,5
37.77,-122.18,2.8125,5
37.76,-122.18,1.8913,5
37.76,-122.19,1.7056,5
37.77,-122.18,2.2768,5
37.77,-122.18,3.2552,5
37.77,-122.18,2.0556,5
37.76,-122.19,2.4659,5
37.76,-122.2,1.75,5
37.77,-122.19,2.0469,5
37.77,-122.19,2.7159,5
37.76,-122.19,1.2083,5
37.76,-122.19,1.925,5
37.75,-122.2,1.5809,5
37.76,-122.2,1.4097,5
37.76,-122.19,0.7683,5
37.75,-122.19,1.3194,5
37.75,-122.19,0.8012,5
37.76,-122.19,1.9479,5
37.74,-122.19,1.1765,5
37.74,-122.18,2.3456,5
37.73,-122.19,2.1538,5
37.74,-122.19,2.5139,5
37.73,-122.19,1.2625,5
37.73,-122.18,2.9063,5
37.73,-122.18,2.5192,5
37.73,-122.18,2.1111,5
37.73,-122.18,2.455,5
37.74,-122.17,2.4028,5
37.74,-122.17,2.15,5
37.74,-122.17,2.4776,5
37.73,-122.17,2.1587,5
37.74,-122.18,1.8438,5
37.74,-122.17,3.0298,5
37.74,-122.17,2.25,5
37.74,-122.18,2.2467,5
37.75,-122.18,4.0469,5
37.75,-122.18,1.325,5
37.75,-122.17,1.6196,5
37.75,-122.18,2.1731,5
37.75,-122.19,1.9167,5
37.75,-122.18,2.069,5
37.75,-122.18,1.712,5
37.76,-122.17,2.5625,5
37.75,-122.17,1.9821,5
37.75,-122.17,2.5043,5
37.75,-122.17,2.3281,5
37.75,-122.17,1.4375,5
37.76,-122.16,2.5122,5
37.75,-122.16,1.5625,5
37.75,-122.17,3.1587,5
37.76,-122.17,1.8426,5
37.76,-122.16,4.6696,5
37.76,-122.16,2.4598,5
37.76,-122.15,6.0749,3
37.77,-122.14,4.8304,3
37.76,-122.14,5.5701,3
37.76,-122.13,5.37,3
37.75,-122.12,6.86,3
37.75,-122.12,7.6923,3
37.75,-122.14,4.0313,5
37.75,-122.14,6.8323,3
37.75,-122.13,4.975,3
37.75,-122.13,5.3602,3
37.74,-122.13,5.0,3
37.75,-122.16,2.925,5
37.75,-122.15,3.8913,5
37.75,-122.15,3.225,5
37.74,-122.15,3.1458,5
37.75,-122.16,2.537,5
37.75,-122.16,2.5568,5
37.74,-122.15,3.5083,5
37.74,-122.15,3.3125,5
37.75,-122.16,1.8235,5
37.75,-122.16,3.8047,5
37.74,-122.17,2.2917,5
37.75,-122.17,2.4962,5
37.74,-122.16,4.0417,5
37.74,-122.16,3.4844,5
37.74,-122.16,4.1458,5
37.74,-122.16,2.625,5
37.74,-122.16,2.0227,5
37.9,-122.29,3.3333,5
37.9,-122.29,5.337999999999999,3
37.89,-122.29,3.4732,5
37.9,-122.3,3.5125,5
37.89,-122.29,3.1375,5
37.89,-122.3,2.8036,5
37.9,-122.3,4.5824,5
37.89,-122.3,3.0208,5
37.89,-122.3,4.0875,5
37.89,-122.33,4.5268,5
37.88,-122.34,1.7375,5
37.89,-122.29,3.1795,5
37.88,-122.29,3.8672,5
37.89,-122.29,5.1675,3
37.89,-122.29,5.1696,3
37.88,-122.28,4.2614,5
37.89,-122.29,5.0551,3
37.9,-122.27,5.6228,3
37.9,-122.26,7.8864,3
37.9,-122.27,7.9556,3
37.9,-122.27,6.174,3
37.9,-122.27,6.9414,3
37.89,-122.27,8.8342,3
37.9,-122.28,7.1754,3
37.9,-122.28,10.0825,3
37.9,-122.28,4.9083,3
37.89,-122.28,5.7912,3
37.89,-122.28,4.5893,5
37.89,-122.28,5.4171,3
37.89,-122.28,4.125,5
37.89,-122.27,7.266,3
37.89,-122.27,5.3989,3
37.9,-122.26,7.8336,3
37.89,-122.25,6.1593,3
37.89,-122.26,6.381,3
37.89,-122.26,6.6828,3
37.89,-122.25,7.5385,3
37.89,-122.25,6.7138,3
37.88,-122.26,6.2425,3
37.88,-122.26,5.7979,3
37.88,-122.27,4.2813,5
37.88,-122.27,3.5417,5
37.88,-122.27,3.0132,5
37.88,-122.28,4.1429,5
37.88,-122.28,4.1912,5
37.88,-122.28,3.9167,5
37.88,-122.29,3.8897,5
37.88,-122.29,3.1065,5
37.88,-122.29,2.9926,5
37.88,-122.29,3.556,5
37.88,-122.3,1.475,5
37.88,-122.3,1.6971,5
37.87,-122.3,2.1705,5
37.86,-122.3,2.75,5
37.85,-122.29,2.5682,5
37.88,-122.3,2.9,5
37.87,-122.3,2.2208,5
37.88,-122.28,3.2344,5
37.87,-122.28,3.5156,5
37.87,-122.28,1.9805,5
37.87,-122.29,2.6684,5
37.87,-122.29,3.875,5
37.88,-122.28,3.006,5
37.87,-122.28,2.543,5
37.87,-122.28,2.8676,5
37.88,-122.27,2.1907,5
37.87,-122.27,1.7778,5
37.88,-122.27,2.52,5
37.88,-122.26,4.2788,5
37.88,-122.26,2.944,5
37.88,-122.26,1.725,5
37.87,-122.25,5.2289,3
37.87,-122.25,2.5562,5
37.87,-122.25,0.949,5
37.87,-122.25,1.1696,5
37.87,-122.26,1.4012,5
37.87,-122.26,1.1859,5
37.87,-122.27,1.7464,5
37.87,-122.27,2.8846,5
37.87,-122.27,2.7372,5
37.86,-122.28,3.8594,5
37.87,-122.28,3.5625,5
37.87,-122.28,2.2788,5
37.87,-122.29,2.537,5
37.87,-122.29,2.525,5
37.86,-122.29,1.9946,5
37.86,-122.28,2.8214,5
37.87,-122.29,2.6165,5
37.86,-122.29,1.9483,5
37.86,-122.28,1.9327,5
37.86,-122.28,1.9798,5
37.85,-122.28,2.4167,5
37.86,-122.27,2.5417,5
37.86,-122.28,3.3906,5
37.86,-122.28,2.5652,5
37.86,-122.28,2.2845,5
37.86,-122.27,2.6071,5
37.86,-122.27,3.15,5
37.86,-122.27,2.6914,5
37.86,-122.27,1.8447,5
37.86,-122.26,1.6307,5
37.86,-122.26,2.9044,5
37.86,-122.26,2.9405,5
37.86,-122.26,3.3893,5
37.86,-122.25,3.0417,5
37.86,-122.25,7.0897,3
37.86,-122.25,5.0463,3
37.86,-122.25,1.7652,5
37.86,-122.24,7.8521,3
37.85,-122.24,9.3959,3
37.86,-122.25,5.3794,3
37.85,-122.26,3.2619,5
37.85,-122.27,2.7054,5
37.85,-122.27,2.2431,5
37.85,-122.27,1.9028,5
37.85,-122.27,1.5817,5
37.85,-122.27,2.2841,5
37.85,-122.27,1.3785,5
37.85,-122.28,2.9018,5
37.85,-122.28,1.73,5
37.85,-122.28,2.2625,5
37.84,-122.29,2.2106,5
37.83,-122.28,2.6997,5
37.84,-122.3,4.0018,5
37.83,-122.23,7.8772,3
37.82,-122.22,11.8603,3
37.82,-122.22,13.499,3
37.82,-122.23,12.2138,3
37.82,-122.23,8.1872,3
37.82,-122.23,12.3804,3
37.83,-122.24,5.8948,3
37.83,-122.24,8.1194,3
37.82,-122.23,8.7477,3
37.82,-122.24,6.155,3
37.82,-122.25,5.882999999999999,3
37.76,-122.23,5.2128,3
37.76,-122.23,4.7188,5
37.76,-122.23,5.2915,3
37.77,-122.24,2.6411,5
37.77,-122.23,3.3214,5
37.77,-122.24,3.6417,5
37.77,-122.25,3.0161,5
37.77,-122.25,3.1771,5
37.77,-122.25,3.4531,5
37.77,-122.25,4.3098,5
37.78,-122.26,3.3438,5
37.78,-122.26,2.9213,5
37.78,-122.27,2.6806,5
37.78,-122.27,3.7708,5
37.78,-122.27,3.9444,5
37.78,-122.27,5.2601,3
37.79,-122.28,2.5444,5
37.77,-122.3,2.6447,5
37.78,-122.28,2.5762,5
37.78,-122.29,1.9427,5
37.77,-122.28,2.9688,5
37.77,-122.28,3.75,5
37.76,-122.29,5.1702,3
37.78,-122.28,2.5139,5
37.77,-122.26,2.9732,5
37.77,-122.27,5.5337,3
37.77,-122.27,4.1667,5
37.77,-122.27,2.7115,5
37.77,-122.27,3.3269,5
37.77,-122.25,3.2685,5
37.77,-122.26,4.7778,3
37.77,-122.26,4.226,5
37.77,-122.26,3.3571,5
37.77,-122.26,2.9899,5
37.77,-122.26,2.875,5
37.77,-122.24,2.3882,5
37.77,-122.25,2.975,5
37.76,-122.23,5.1039,3
37.76,-122.23,4.1458,5
37.76,-122.24,3.4762,5
37.76,-122.24,2.6833,5
37.76,-122.23,5.75,3
37.75,-122.23,3.9632,5
37.75,-122.24,4.9489,3
37.75,-122.24,4.8711,3
37.76,-122.24,3.0718,5
37.76,-122.24,3.6719,5
37.76,-122.24,4.6094,5
37.73,-122.24,4.5213,5
37.74,-122.25,4.4562,5
37.72,-122.24,7.611000000000001,3
37.73,-122.27,3.2689,5
37.76,-122.25,3.567,5
37.74,-122.27,3.6875,5
37.77,-122.27,4.7695,3
37.75,-122.28,3.1972,5
37.77,-122.06,7.2634,3
37.73,-122.06,7.0568,3
37.71,-122.06,4.635,5
37.71,-122.07,5.3015,3
37.71,-122.07,4.9801,3
37.72,-122.07,5.4834,3
37.72,-122.08,6.187,3
37.72,-122.08,5.6194,3
37.71,-122.08,5.4639,3
37.71,-122.09,5.1498,3
37.72,-122.1,5.8382,3
37.71,-122.11,4.65,5
37.7,-122.1,4.3819,5
37.69,-122.1,3.7222,5
37.71,-122.09,5.2855,3
37.7,-122.09,4.3375,5
37.71,-122.1,5.2131,3
37.7,-122.09,6.005,3
37.71,-122.08,5.0519,3
37.71,-122.08,4.8237,3
37.7,-122.08,5.2497,3
37.7,-122.07,4.125,5
37.7,-122.06,4.6005,5
37.7,-122.06,3.5187,5
37.7,-122.07,3.0,5
37.7,-122.08,3.4934,5
37.7,-122.09,2.9861,5
37.69,-122.07,2.5362,5
37.69,-122.08,3.3021,5
37.69,-122.07,3.0964,5
37.69,-122.08,2.8512,5
37.69,-122.08,3.3478,5
37.68,-122.08,2.3958,5
37.68,-122.08,3.5295,5
37.69,-122.09,4.8036,3
37.74,-122.15,3.851,5
37.74,-122.14,4.0662,5
37.73,-122.14,4.6042,5
37.74,-122.15,2.2,5
37.73,-122.16,4.1164,5
37.74,-122.15,3.95,5
37.73,-122.15,4.9135,3
37.73,-122.15,2.8355,5
37.73,-122.17,3.25,5
37.73,-122.16,2.8301,5
37.73,-122.17,3.7159,5
37.73,-122.16,2.5625,5
37.72,-122.18,3.8047,5
37.71,-122.18,3.375,5
37.71,-122.17,3.244,5
37.7,-122.18,4.0268,5
37.7,-122.18,3.3906,5
37.71,-122.19,5.5461,3
37.72,-122.17,3.3710000000000004,5
37.72,-122.17,3.5313,5
37.72,-122.17,3.663,5
37.72,-122.16,2.875,5
37.72,-122.17,4.0202,5
37.71,-122.16,4.5553,5
37.71,-122.16,3.4643,5
37.72,-122.16,3.3431,5
37.73,-122.15,2.1898,5
37.72,-122.15,2.9097,5
37.72,-122.15,3.375,5
37.72,-122.15,2.8125,5
37.73,-122.14,5.0,3
37.73,-122.14,3.0673,5
37.73,-122.14,3.8125,5
37.73,-122.13,6.9096,3
37.72,-122.13,7.912000000000001,3
37.72,-122.13,3.8393,5
37.71,-122.12,4.0,5
37.72,-122.13,6.5095,3
37.72,-122.14,3.5156,5
37.72,-122.14,2.983,5
37.72,-122.13,3.524,5
37.71,-122.13,3.1103,5
37.71,-122.13,3.5781,5
37.71,-122.15,3.1682,5
37.71,-122.14,2.6101,5
37.71,-122.14,3.6932,5
37.7,-122.13,3.4583,5
37.7,-122.13,3.9032,5
37.71,-122.15,4.0208,5
37.7,-122.15,3.5547,5
37.7,-122.14,4.5859,5
37.7,-122.13,2.6321,5
37.69,-122.13,3.395,5
37.7,-122.14,3.9702,5
37.7,-122.16,5.0043,3
37.69,-122.14,4.4659,5
37.69,-122.15,3.6625,5
37.69,-122.15,3.8864,5
37.7,-122.15,3.4583,5
37.69,-122.16,3.7813,5
37.7,-122.16,2.9917,5
37.7,-122.16,4.4375,5
37.7,-122.17,4.0,5
37.68,-122.16,2.3869,5
37.69,-122.17,4.7609,3
37.68,-122.18,5.4858,3
37.69,-122.16,4.3971,5
37.69,-122.15,4.0109,5
37.68,-122.15,4.3864,5
37.68,-122.15,4.2841,5
37.69,-122.15,5.1312,3
37.69,-122.14,2.9958,5
37.68,-122.14,3.6364,5
37.68,-122.14,2.7955,5
37.69,-122.1,2.9507,5
37.69,-122.12,3.4375,5
37.69,-122.13,2.875,5
37.71,-122.12,3.0345,5
37.7,-122.12,2.679,5
37.7,-122.12,2.9922,5
37.69,-122.12,4.1042,5
37.7,-122.12,2.5833,5
37.7,-122.11,2.1552,5
37.7,-122.11,2.3274,5
37.7,-122.11,2.4206,5
37.69,-122.1,3.9063,5
37.69,-122.11,2.6464,5
37.69,-122.11,3.4643,5
37.69,-122.12,2.3973,5
37.69,-122.03,6.5,3
37.64,-121.97,6.0574,3
37.63,-122.02,3.8958,5
37.63,-122.04,4.7813,3
37.63,-122.05,3.2829,5
37.66,-122.04,5.3169,3
37.65,-122.04,6.2579,3
37.68,-122.05,5.1701,3
37.68,-122.07,3.25,5
37.68,-122.06,3.1796,5
37.68,-122.08,2.4196,5
37.68,-122.08,2.6563,5
37.67,-122.08,0.9637,5
37.67,-122.09,2.3357,5
37.68,-122.09,3.5114,5
37.69,-122.09,3.3125,5
37.68,-122.09,2.4042,5
37.68,-122.09,2.8322,5
37.68,-122.09,2.5156,5
37.68,-122.1,3.4032,5
37.68,-122.1,2.535,5
37.68,-122.11,2.5772,5
37.68,-122.1,3.0962,5
37.67,-122.1,2.9564,5
37.68,-122.1,3.125,5
37.68,-122.12,2.95,5
37.68,-122.12,4.38,5
37.68,-122.12,4.0417,5
37.67,-122.11,3.8,5
37.68,-122.12,3.4839,5
37.68,-122.13,4.0588,5
37.68,-122.13,4.1974,5
37.68,-122.13,3.6,5
37.68,-122.14,4.267,5
37.67,-122.14,4.2386,5
37.67,-122.15,5.5797,3
37.67,-122.14,4.0682,5
37.67,-122.13,3.1734,5
37.67,-122.14,4.7933,3
37.67,-122.14,4.8125,3
37.67,-122.13,3.8676,5
37.67,-122.12,3.9395,5
37.67,-122.13,3.2434,5
37.67,-122.11,3.0917,5
37.67,-122.11,3.0645,5
37.67,-122.09,2.7019,5
37.67,-122.09,3.1115,5
37.66,-122.09,3.4722,5
37.66,-122.09,2.2222,5
37.68,-122.05,6.1104,3
37.67,-122.06,4.2733,5
37.67,-122.07,3.2465,5
37.67,-122.07,3.2417,5
37.67,-122.07,3.875,5
37.67,-122.04,6.0501,3
37.67,-122.04,6.8233,3
37.66,-122.04,6.3501,3
37.66,-122.07,2.6719,5
37.66,-122.07,3.875,5
37.66,-122.08,2.5625,5
37.65,-122.07,3.016,5
37.65,-122.08,2.7694,5
37.65,-122.08,3.6818,5
37.66,-122.08,2.1382,5
37.66,-122.1,3.7303,5
37.66,-122.1,3.875,5
37.66,-122.1,3.0489,5
37.65,-122.09,2.8203,5
37.65,-122.09,4.3897,5
37.65,-122.09,4.7143,5
37.66,-122.1,4.6875,5
37.66,-122.11,3.2091,5
37.66,-122.1,4.275,5
37.66,-122.11,4.1302,5
37.66,-122.11,3.09,5
37.65,-122.1,4.5417,5
37.64,-122.1,4.6635,5
37.65,-122.1,4.4427,5
37.65,-122.1,4.5303,5
37.65,-122.12,2.375,5
37.63,-122.1,3.8171,5
37.61,-122.1,4.5281,5
37.66,-122.13,4.3456,5
37.65,-122.11,3.4861,5
37.64,-122.11,5.2312,3
37.64,-122.11,3.6708,5
37.64,-122.12,3.8875,5
37.63,-122.09,3.9167,5
37.64,-122.09,3.9063,5
37.63,-122.1,3.7895,5
37.64,-122.08,3.8,5
37.64,-122.08,5.7309,3
37.64,-122.09,4.1141,5
37.64,-122.09,5.2838,3
37.64,-122.08,3.3479,5
37.64,-122.08,3.142,5
37.63,-122.08,3.7614,5
37.63,-122.08,4.25,5
37.64,-122.08,3.9338,5
37.64,-122.07,2.5158,5
37.63,-122.07,2.4808,5
37.64,-122.07,4.7083,5
37.64,-122.06,4.1652,5
37.64,-122.06,3.5541,5
37.65,-122.06,3.8036,5
37.64,-122.06,3.8259,5
37.63,-122.04,3.2331,5
37.62,-122.03,4.7109,5
37.62,-122.03,4.2468,5
37.62,-122.04,6.396,3
37.62,-122.04,3.8125,5
37.62,-122.04,3.2857,5
37.62,-122.03,3.8929,5
37.61,-122.03,3.7262,5
37.61,-122.03,4.0125,5
37.61,-122.04,4.1719,5
37.62,-122.04,4.2857,5
37.63,-122.08,3.6458,5
37.62,-122.08,2.6875,5
37.63,-122.07,3.7292,5
37.63,-122.07,4.5913,5
37.63,-122.06,3.8625,5
37.63,-122.06,3.3611,5
37.61,-122.05,2.8971,5
37.63,-122.08,4.0326,5
37.63,-122.08,4.0682,5
37.63,-122.09,5.3644,3
37.63,-122.09,4.7019,5
37.62,-122.08,5.64,3
37.61,-122.08,3.7931,5
37.61,-121.99,4.6458,5
37.6,-122.02,3.694,5
37.6,-122.02,2.652,5
37.6,-122.02,3.5,5
37.6,-122.02,3.2386,5
37.61,-122.03,5.097,3
37.6,-122.04,4.3875,5
37.6,-122.06,4.625,5
37.61,-122.08,5.0406,3
37.6,-122.06,5.8704,3
37.6,-122.06,5.3226,3
37.59,-122.08,4.235,5
37.59,-122.07,4.825,3
37.58,-122.08,5.5218,3
37.58,-122.07,6.5116,3
37.58,-122.07,6.0661,3
37.58,-122.08,6.0074,3
37.59,-122.07,4.6211,5
37.58,-122.07,5.225,3
37.59,-122.04,5.3428,3
37.59,-122.05,3.7462,5
37.6,-122.03,4.5721,5
37.59,-122.02,3.6923,5
37.59,-122.03,4.6786,5
37.59,-122.01,2.875,5
37.58,-122.02,3.3617,5
37.58,-122.01,5.7579,3
37.6,-122.09,2.9706,5
37.6,-122.08,3.9022,5
37.57,-121.97,4.6146,5
37.58,-121.96,5.7192,3
37.58,-121.98,3.6832,5
37.58,-121.99,6.2073,3
37.58,-122.0,5.8151,3
37.57,-122.01,5.8322,3
37.58,-122.04,5.6277,3
37.57,-122.04,5.2879,3
37.57,-122.07,6.5615,3
37.58,-122.06,5.6758,3
37.57,-122.05,6.1047,3
37.49,-121.93,3.5714,5
37.52,-122.07,6.0824,3
37.56,-122.02,4.3594,5
37.56,-122.02,5.5737,3
37.56,-122.03,4.8962,3
37.56,-122.03,4.6978,5
37.56,-122.01,4.4259,5
37.55,-122.01,3.3008,5
37.55,-122.02,4.5687,5
37.56,-122.01,3.8179,5
